id,title,genres,description,year
1223,La La Land Eclipse 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 9 of an extended cinematic universe with new characters and plot twists.,2007
1224,The Godfather Eclipse 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,2001
1225,Interstellar Eclipse 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,1986
1226,The Godfather Genesis 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 1 of an extended cinematic universe with new characters and plot twists.,2016
1227,Inception Reimagined 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,1971
1228,Interstellar Uprising 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,1998
1229,Interstellar Legacy 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,2017
1230,Parasite Uprising 4,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,1982
1231,Parasite Odyssey 4,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 1 of an extended cinematic universe with new characters and plot twists.,2023
1232,The Green Mile Returns 9,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,2014
1233,Inside Out Returns 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 1 of an extended cinematic universe with new characters and plot twists.,2008
1234,Parasite Uprising 3,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,2006
1235,The Shawshank Redemption Eclipse 4,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 7 of an extended cinematic universe with new characters and plot twists.",1975
1236,Inside Out Returns 5,Animation|Family,Emotions guide a young girl's life during a big move. This is part 8 of an extended cinematic universe with new characters and plot twists.,2014
1237,The Green Mile Chronicles 5,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1982
1238,The Matrix Saga 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1995
1239,Parasite Odyssey 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,1998
1240,The Social Network Chronicles 1,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1996
1241,Parasite Genesis 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 8 of an extended cinematic universe with new characters and plot twists.,1992
1242,Inside Out Saga 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 1 of an extended cinematic universe with new characters and plot twists.,2014
1243,Interstellar Uprising 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,1977
1244,The Godfather Saga 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,2015
1245,Inception Rebirth 8,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 1 of an extended cinematic universe with new characters and plot twists.,2020
1246,The Shawshank Redemption Legacy 1,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",2009
1247,Interstellar Saga 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 7 of an extended cinematic universe with new characters and plot twists.,2012
1248,Interstellar Returns 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 4 of an extended cinematic universe with new characters and plot twists.,1996
1249,The Social Network Odyssey 6,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1973
1250,The Social Network Returns 4,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2004
1251,The Matrix Returns 8,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 8 of an extended cinematic universe with new characters and plot twists.,2017
1252,Interstellar Genesis 9,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,1973
1253,The Godfather Rebirth 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 7 of an extended cinematic universe with new characters and plot twists.,1972
1254,Interstellar Rebirth 9,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 1 of an extended cinematic universe with new characters and plot twists.,1996
1255,The Shawshank Redemption Saga 2,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 5 of an extended cinematic universe with new characters and plot twists.",1991
1256,Inception Returns 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 6 of an extended cinematic universe with new characters and plot twists.,2013
1257,The Social Network Rebirth 3,Drama,The founding of Facebook and its legal battles. This is part 5 of an extended cinematic universe with new characters and plot twists.,2017
1258,Interstellar Legacy 4,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,2017
1259,The Godfather Genesis 1,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,1982
1260,La La Land Reimagined 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 9 of an extended cinematic universe with new characters and plot twists.,2018
1261,The Social Network Uprising 1,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1977
1262,Parasite Genesis 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,1999
1263,The Godfather Rebirth 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 6 of an extended cinematic universe with new characters and plot twists.,1998
1264,The Godfather Returns 6,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 3 of an extended cinematic universe with new characters and plot twists.,2003
1265,Inside Out Genesis 5,Animation|Family,Emotions guide a young girl's life during a big move. This is part 4 of an extended cinematic universe with new characters and plot twists.,2011
1266,Parasite Returns 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 8 of an extended cinematic universe with new characters and plot twists.,1982
1267,Inception Reimagined 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,2000
1268,The Green Mile Legacy 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 7 of an extended cinematic universe with new characters and plot twists.,1998
1269,Inside Out Legacy 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 8 of an extended cinematic universe with new characters and plot twists.,2025
1270,Inside Out Chronicles 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 2 of an extended cinematic universe with new characters and plot twists.,2021
1271,Interstellar Rebirth 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,1981
1272,Inception Chronicles 6,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,2024
1273,The Social Network Legacy 3,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1978
1274,Interstellar Eclipse 4,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 7 of an extended cinematic universe with new characters and plot twists.,1973
1275,Interstellar Legacy 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,1975
1276,The Matrix Chronicles 8,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 7 of an extended cinematic universe with new characters and plot twists.,1976
1277,The Shawshank Redemption Chronicles 9,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 7 of an extended cinematic universe with new characters and plot twists.",2016
1278,The Matrix Eclipse 6,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1973
1279,Inception Eclipse 2,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,2019
1280,La La Land Legacy 1,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,1999
1281,La La Land Genesis 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 5 of an extended cinematic universe with new characters and plot twists.,1984
1282,The Shawshank Redemption Returns 5,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 9 of an extended cinematic universe with new characters and plot twists.",1970
1283,Parasite Returns 3,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 3 of an extended cinematic universe with new characters and plot twists.,2023
1284,Parasite Genesis 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 3 of an extended cinematic universe with new characters and plot twists.,1972
1285,The Social Network Legacy 3,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1977
1286,The Green Mile Uprising 5,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1990
1287,The Matrix Uprising 1,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 7 of an extended cinematic universe with new characters and plot twists.,2014
1288,Inception Reimagined 5,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 2 of an extended cinematic universe with new characters and plot twists.,2012
1289,Parasite Saga 9,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,1988
1290,La La Land Rebirth 6,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 2 of an extended cinematic universe with new characters and plot twists.,2008
1291,La La Land Genesis 2,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 5 of an extended cinematic universe with new characters and plot twists.,1987
1292,The Social Network Chronicles 6,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2006
1293,La La Land Odyssey 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1982
1294,Inside Out Legacy 4,Animation|Family,Emotions guide a young girl's life during a big move. This is part 2 of an extended cinematic universe with new characters and plot twists.,2011
1295,The Green Mile Odyssey 9,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 5 of an extended cinematic universe with new characters and plot twists.,2012
1296,Inside Out Genesis 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 3 of an extended cinematic universe with new characters and plot twists.,1993
1297,Interstellar Saga 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 7 of an extended cinematic universe with new characters and plot twists.,2015
1298,The Godfather Odyssey 4,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 7 of an extended cinematic universe with new characters and plot twists.,1987
1299,Inside Out Rebirth 8,Animation|Family,Emotions guide a young girl's life during a big move. This is part 1 of an extended cinematic universe with new characters and plot twists.,1972
1300,The Green Mile Returns 9,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 7 of an extended cinematic universe with new characters and plot twists.,2022
1301,Inside Out Rebirth 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1975
1302,Inception Reimagined 8,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 1 of an extended cinematic universe with new characters and plot twists.,1983
1303,Inception Chronicles 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,1983
1304,The Social Network Reimagined 5,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,2001
1305,Interstellar Reimagined 9,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 1 of an extended cinematic universe with new characters and plot twists.,2000
1306,Inside Out Reimagined 5,Animation|Family,Emotions guide a young girl's life during a big move. This is part 3 of an extended cinematic universe with new characters and plot twists.,1974
1307,Inception Legacy 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,1987
1308,The Godfather Saga 5,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 2 of an extended cinematic universe with new characters and plot twists.,1991
1309,The Godfather Rebirth 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 7 of an extended cinematic universe with new characters and plot twists.,2015
1310,The Green Mile Saga 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,1976
1311,Inside Out Uprising 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1971
1312,The Godfather Rebirth 3,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 7 of an extended cinematic universe with new characters and plot twists.,1986
1313,Inside Out Legacy 4,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,1997
1314,La La Land Saga 7,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1980
1315,The Social Network Legacy 1,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1983
1316,The Social Network Genesis 5,Drama,The founding of Facebook and its legal battles. This is part 3 of an extended cinematic universe with new characters and plot twists.,2003
1317,Inside Out Uprising 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1993
1318,The Green Mile Odyssey 6,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,2016
1319,The Social Network Reimagined 2,Drama,The founding of Facebook and its legal battles. This is part 8 of an extended cinematic universe with new characters and plot twists.,1999
1320,Inside Out Uprising 4,Animation|Family,Emotions guide a young girl's life during a big move. This is part 8 of an extended cinematic universe with new characters and plot twists.,1979
1321,The Godfather Genesis 3,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 1 of an extended cinematic universe with new characters and plot twists.,1985
1322,Inception Chronicles 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,2018
1323,Parasite Legacy 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 8 of an extended cinematic universe with new characters and plot twists.,1989
1324,Inception Legacy 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,2023
1325,Inside Out Uprising 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 3 of an extended cinematic universe with new characters and plot twists.,1976
1326,Interstellar Legacy 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 1 of an extended cinematic universe with new characters and plot twists.,2001
1327,Inception Odyssey 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,2000
1328,Parasite Legacy 3,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,1974
1329,The Godfather Legacy 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1981
1330,La La Land Eclipse 6,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 8 of an extended cinematic universe with new characters and plot twists.,1972
1331,Inside Out Odyssey 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 3 of an extended cinematic universe with new characters and plot twists.,1989
1332,Inside Out Legacy 4,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,2017
1333,Interstellar Chronicles 8,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,1997
1334,Inception Odyssey 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 4 of an extended cinematic universe with new characters and plot twists.,2023
1335,The Godfather Uprising 2,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,1994
1336,La La Land Chronicles 9,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 2 of an extended cinematic universe with new characters and plot twists.,1991
1337,The Matrix Reimagined 2,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 7 of an extended cinematic universe with new characters and plot twists.,2005
1338,The Matrix Eclipse 8,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,2003
1339,The Matrix Rebirth 1,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 5 of an extended cinematic universe with new characters and plot twists.,1986
1340,La La Land Reimagined 3,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 3 of an extended cinematic universe with new characters and plot twists.,1990
1341,The Green Mile Chronicles 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 6 of an extended cinematic universe with new characters and plot twists.,1973
1342,La La Land Chronicles 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1978
1343,The Matrix Returns 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 4 of an extended cinematic universe with new characters and plot twists.,1973
1344,La La Land Legacy 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1976
1345,The Matrix Genesis 9,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 4 of an extended cinematic universe with new characters and plot twists.,1981
1346,The Godfather Rebirth 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 5 of an extended cinematic universe with new characters and plot twists.,2007
1347,Parasite Eclipse 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 2 of an extended cinematic universe with new characters and plot twists.,2022
1348,Parasite Eclipse 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,2011
1349,The Matrix Saga 6,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 9 of an extended cinematic universe with new characters and plot twists.,1996
1350,The Social Network Saga 5,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,1995
1351,Inside Out Returns 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,2019
1352,The Social Network Reimagined 8,Drama,The founding of Facebook and its legal battles. This is part 5 of an extended cinematic universe with new characters and plot twists.,1981
1353,The Social Network Reimagined 5,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,2000
1354,The Matrix Rebirth 6,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 4 of an extended cinematic universe with new characters and plot twists.,2020
1355,Inside Out Saga 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 7 of an extended cinematic universe with new characters and plot twists.,1986
1356,La La Land Chronicles 5,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1980
1357,Parasite Returns 4,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,1990
1358,Parasite Rebirth 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 7 of an extended cinematic universe with new characters and plot twists.,1991
1359,The Social Network Chronicles 5,Drama,The founding of Facebook and its legal battles. This is part 7 of an extended cinematic universe with new characters and plot twists.,2000
1360,Inception Returns 4,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 3 of an extended cinematic universe with new characters and plot twists.,2025
1361,Parasite Uprising 3,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 5 of an extended cinematic universe with new characters and plot twists.,1977
1362,Inception Uprising 7,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 5 of an extended cinematic universe with new characters and plot twists.,2014
1363,The Godfather Genesis 8,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 8 of an extended cinematic universe with new characters and plot twists.,1978
1364,The Godfather Reimagined 1,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1970
1365,The Social Network Chronicles 9,Drama,The founding of Facebook and its legal battles. This is part 7 of an extended cinematic universe with new characters and plot twists.,1993
1366,Parasite Legacy 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 7 of an extended cinematic universe with new characters and plot twists.,1981
1367,The Social Network Legacy 1,Drama,The founding of Facebook and its legal battles. This is part 2 of an extended cinematic universe with new characters and plot twists.,1991
1368,The Green Mile Legacy 8,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 7 of an extended cinematic universe with new characters and plot twists.,2002
1369,Interstellar Uprising 6,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 8 of an extended cinematic universe with new characters and plot twists.,1978
1370,Parasite Reimagined 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,1993
1371,Interstellar Chronicles 8,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 9 of an extended cinematic universe with new characters and plot twists.,1990
1372,The Shawshank Redemption Rebirth 2,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",1986
1373,Inception Rebirth 1,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,2019
1374,Inception Eclipse 4,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,2007
1375,The Green Mile Eclipse 9,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1973
1376,Inside Out Returns 1,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1974
1377,The Green Mile Reimagined 2,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1992
1378,Inception Rebirth 8,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,1988
1379,The Social Network Saga 1,Drama,The founding of Facebook and its legal battles. This is part 2 of an extended cinematic universe with new characters and plot twists.,1986
1380,Interstellar Odyssey 1,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,2008
1381,La La Land Odyssey 8,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 6 of an extended cinematic universe with new characters and plot twists.,1999
1382,The Matrix Genesis 1,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,1986
1383,The Social Network Odyssey 6,Drama,The founding of Facebook and its legal battles. This is part 1 of an extended cinematic universe with new characters and plot twists.,2000
1384,Interstellar Returns 2,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 7 of an extended cinematic universe with new characters and plot twists.,1994
1385,The Matrix Uprising 3,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 6 of an extended cinematic universe with new characters and plot twists.,1972
1386,Interstellar Saga 8,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 3 of an extended cinematic universe with new characters and plot twists.,2025
1387,Parasite Eclipse 1,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,2024
1388,La La Land Uprising 1,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 8 of an extended cinematic universe with new characters and plot twists.,2015
1389,The Matrix Legacy 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1971
1390,The Social Network Uprising 9,Drama,The founding of Facebook and its legal battles. This is part 4 of an extended cinematic universe with new characters and plot twists.,2004
1391,The Shawshank Redemption Odyssey 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 4 of an extended cinematic universe with new characters and plot twists.",1998
1392,The Shawshank Redemption Rebirth 5,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 5 of an extended cinematic universe with new characters and plot twists.",2003
1393,Interstellar Genesis 4,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 2 of an extended cinematic universe with new characters and plot twists.,2008
1394,The Social Network Eclipse 4,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2024
1395,Interstellar Uprising 2,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 5 of an extended cinematic universe with new characters and plot twists.,1982
1396,Inception Uprising 5,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,2022
1397,The Godfather Eclipse 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1999
1398,The Green Mile Reimagined 5,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1995
1399,The Green Mile Uprising 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,1984
1400,The Matrix Reimagined 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 6 of an extended cinematic universe with new characters and plot twists.,1987
1401,Parasite Legacy 7,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 2 of an extended cinematic universe with new characters and plot twists.,1993
1402,The Green Mile Uprising 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 8 of an extended cinematic universe with new characters and plot twists.,2016
1403,Parasite Chronicles 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 2 of an extended cinematic universe with new characters and plot twists.,1979
1404,Parasite Saga 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 1 of an extended cinematic universe with new characters and plot twists.,2002
1405,Inside Out Legacy 4,Animation|Family,Emotions guide a young girl's life during a big move. This is part 3 of an extended cinematic universe with new characters and plot twists.,2003
1406,Inception Chronicles 2,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 6 of an extended cinematic universe with new characters and plot twists.,1983
1407,Interstellar Chronicles 2,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 6 of an extended cinematic universe with new characters and plot twists.,2001
1408,Parasite Rebirth 2,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 5 of an extended cinematic universe with new characters and plot twists.,1973
1409,La La Land Saga 7,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 7 of an extended cinematic universe with new characters and plot twists.,1992
1410,The Matrix Uprising 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 9 of an extended cinematic universe with new characters and plot twists.,2009
1411,The Matrix Reimagined 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 3 of an extended cinematic universe with new characters and plot twists.,1971
1412,La La Land Uprising 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 2 of an extended cinematic universe with new characters and plot twists.,2009
1413,La La Land Uprising 8,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 8 of an extended cinematic universe with new characters and plot twists.,1988
